Property Name,Property Address,Latitude,Longitude,Rent Type,Style,Year Built,Vacancy %,Number Of Units,Number Of Studios Units,Studio Asking Rent/Unit,Studio Avg SF,Number Of 1 Bedrooms Units,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,Number Of 2 Bedrooms Units,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Number Of 3 Bedrooms Units,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Number Of 4 Bedrooms Units,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF
Crosshatch Apartments,4220 Adams St,43.6348918,-116.2469673,Market,Mid-Rise,2024,13.9860,143,60,1317,425,37,1459,677,46,1923,1046,,,,,,
North End,1522 W State St,43.6235281,-116.2094462,Market,Mid-Rise,2026,,105,40,,,25,,,30,,,10,,,,,
The Arthur,120 N 12th St,43.6184417,-116.2074418,Market,Hi-Rise,2025,47.6510,298,34,2180,522,187,2712,705,74,3932,1083,3,8242,1808,,,
,3126 E. Victory Rd,43.5775967,-116.5315133,Market,Mid-Rise,2027,,300,,,,102,,759,162,,974,36,,1230,,,
Broadstone Saratoga,1201 W Grove St,43.6173671,-116.2098184,Market,Mid-Rise,2025,77.4086,301,70,1816,484,100,2300,741,131,3137,1041,,,,,,
Old Town Lofts,33 E Idaho Ave,43.6108480,-116.3927350,Market,Mid-Rise,2022,,102,,,,51,1402,590,51,1708,924,,,,,,
Hearth on Broad,406 S 4th St,43.6103880,-116.2010232,Market,Mid-Rise,2020,4.3478,161,41,1383,497,66,1715,661,54,2405,920,,,,,,
Vineyard at Broadmore II,15 5th St N,43.5960219,-116.5718475,Market/Affordable,Low-Rise,2017,,30,,,,15,519,698,15,612,900,,,,,,
The Afton,620-880 S 9th St,43.6115836,-116.2084202,Market,Mid-Rise,2017,,65,,,,37,,1101,21,,1785,7,,1555,,,
The Boardwalk Apartments,521 E 41st St,43.6343052,-116.2432636,Market,Mid-Rise,2023,18.3761,234,72,1566,547,146,2465,989,16,2874,1125,,,,,,
Parkway Apartments,405 E 42nd St,43.6343473,-116.2465531,Market,Low-Rise,2019,17.9487,39,,,,27,1315,682,12,1518,926,,,,,,
Copestone Apartments,408 E 43rd St,43.6363145,-116.2488480,Market,Mid-Rise,2025,42.8571,70,,,,8,1770,805,58,2074,1070,4,2740,1586,,,
Legacy at 50th Street Apartments,485 E 50th St,43.6460318,-116.2626828,Market,Garden,2016,4.6296,108,,,,54,1356,780,54,1456,1023,,,,,,
Amazon Falls Townhomes,7850 W Amazon Dr,43.6944222,-116.4516199,Market,Townhome,2021,5.4348,184,,,,,,,183,1737,920,1,1609,1192,,,
Ash & River,503-505 Ash St,43.6137422,-116.2127672,Market,Low-Rise,2019,2.7778,36,,,,11,1467,467,2,2155,980,23,2403,1357,,,
Tauri Apartments,12673 W Ashcreek St,43.6561991,-116.3393487,Market,Garden,2026,,156,,,,58,1550,735,58,1825,950,40,2150,1356,,,
Viera at Pinnacle,6269 S Aspiration Ave,43.5468586,-116.3774500,Market,Single-Family Home,2024,0.0000,56,,,,,,,,,,24,2415,1700,32,2600,1815
Meritage West,13450 W Baldcypress St,43.6381712,-116.3501172,Market,Mid-Rise,2022,1.2048,83,8,1252,522,27,1350,630,41,1482,928,7,1975,1274,,,
Affinity at Boise,13626 W Baldcypress St,43.6382527,-116.3517256,Market/Affordable,Mid-Rise,2014,5.3333,150,39,2005,457,63,2251,568,48,2545,762,,,,,,
Foxtail Senior Living,3559 W Bavaria St,43.6636270,-116.3992030,Market,Low-Rise,2018,6.2500,80,57,,622,23,,714,,,,,,,,,
Aspen Creek Apartments,6152-6242 Birch Ln,43.6129838,-116.5159308,Market,Garden,2014,,112,,,,28,1302,750,60,1451,990,24,1603,1250,,,
Hensley Station Townhomes,462 N Black Cat Rd,43.6091405,-116.4531455,Market,Garden,2023,,65,,,,,,,,,,65,,1665,,,
Asher Apartments,17051 N Blackmore Ln,43.6217289,-116.5139851,Market,Garden,2026,,299,24,1375,542,108,1575,722,107,1828,1089,60,2077,1276,,,
Heron Village,51 E Blue Heron Ln,43.6260225,-116.3929714,Market,Garden,2015,6.4815,108,,,,24,1425,780,72,1624,990,12,1900,1230,,,
Breckenridge Apartments,10890 Blue River Ln,43.6354632,-116.6112092,Market,Garden,2022,4.3750,160,,,,44,1246,688,106,1533,981,10,1845,1171,,,
Gramercy Villas,2549 E Blue Tick St,43.5847590,-116.3630250,Market,Low-Rise,2012,7.5758,66,,,,12,1460,800,48,1637,1044,6,1782,1112,,,
The Fowler,505 W Broad St,43.6115191,-116.2027113,Market,Mid-Rise,2018,6.2893,159,54,1401,578,51,1531,667,54,2062,847,,,,,,
Union 93,221-225 E Broadway Ave,43.6096010,-116.3892187,Market,Mid-Rise,2026,,350,,,,,,,,,,,,,,,
,"Lots 1-6 ""A"" Canal",43.5770191,-116.2171029,Market,Townhome,2021,,6,,,,,,,,,,2,,1586,4,,1772
Bradbury Luxury Townhomes,2813 W Canal St,43.5770078,-116.2170549,Market,Townhome,2021,11.1111,27,,,,,,,,,,27,2177,1671,,,
The Jaxon,401 Canyon Village Ln,43.6207789,-116.6278646,Market,Mid-Rise,2024,27.8481,316,,,,120,1608,718,160,1857,1116,36,2277,1354,,,
Cedar Crossing Townhomes,13449 Cedar Hollow Ln,43.6021323,-116.6613315,Market,Townhome,2018,4.8780,164,,,,,,,50,1549,1061,114,1684,1378,,,
Shannon Glen,10140 W Charlie Ln,43.6785687,-116.3085089,Market/Affordable,Garden,2002,1.3889,72,,,,,,,32,1493,847,28,1609,1077,12,1738,1265
Oak Park Village,2888 Cherry Ln,43.5816590,-116.2169750,Market/Affordable,Garden,1995,5.0000,200,,,,60,1308,725,80,1418,989,60,1509,1278,,,
The Farmstead,10201 Cherry Ln,43.6184306,-116.5972236,Market,Garden,2020,6.6667,360,,,,124,1414,780,202,1672,1026,34,2070,1297,,,
The Orchards at Cloverdale,2994 N Cloverdale Rd,43.6322334,-116.3339279,Market,Garden,2007,,96,,,,,,,96,,,,,,,,
The Flats at Ten Mile,2700 W Cobalt Dr,43.6018350,-116.4274139,Market,Mid-Rise,2021,3.8298,235,35,1220,470,91,1460,636,101,1660,964,8,1984,1186,,,
The Lofts at Ten Mile,2940 W Cobalt Dr,43.6024271,-116.4332212,Market,Mid-Rise,2019,5.8333,240,,,,145,1595,701,95,1792,932,,,,,,
Rembrandt Park Apartments,1436 N Cormorant Pl,43.6183230,-116.3180000,Market,Garden,2001,3.6765,136,,,,24,1286,740,92,1464,944,20,1624,1055,,,
Vineyard Suites on the Boulevard,888 W Corporate Ln,43.5962058,-116.5913248,Market,Mid-Rise,2019,,50,,,,27,843,670,23,1031,945,,,,,,
Crescent Rim,3005 W Crescent Rim Dr,43.6046212,-116.2198733,Market,Mid-Rise,2018,,19,,,,5,,1093,14,,1939,,,,,,
Crescent Rim,3005 W Crescent Rim Dr,43.6042959,-116.2193099,Market,Mid-Rise,2013,,20,,,,3,,987,17,,1939,,,,,,
,1109 Dearborn,43.6613857,-116.6868390,Market,,2026,,21,,,,,,,,,,,,,,,
Initial Point,550 W Deer Flat Rd,43.5035269,-116.4202233,Market,Garden,2019,5.6604,53,,,,,,,53,1488,975,,,,,,
Emerald Station,6160 W Denton St,43.6104448,-116.2581433,Affordable,Mid-Rise,2026,,196,45,,,80,,,59,,,12,,,,,
The Mill at Loggers Creek,1250 S Division Ave,43.5977354,-116.1881169,Market,Mid-Rise,2024,9.6000,125,31,1688,622,57,1909,827,37,2074,1210,,,,,,
Sunnyvale Village Townhomes,15680 N Draycot Ln,43.6001092,-116.6175152,Market,Townhome,2022,0.4717,212,,,,,,,157,1543,1024,55,1791,1301,,,
Heron's Edge,338 S Edgewood Ln,43.6910768,-116.3334587,Market,Mid-Rise,2023,67.1756,131,,,,24,1657,1001,83,1874,1198,24,2221,1484,,,
Colorado Gardens,1007 S Elder St,43.5590868,-116.5603136,Market/Affordable,Low-Rise,2018,8.0000,50,16,480,450,18,509,608,16,614,808,,,,,,
Prelude at Paramount,4909 N Elsinore Ave,43.6488995,-116.3973809,Market,Garden,2018,8.5714,280,,,,107,1450,787,125,1780,1117,48,2139,1291,,,
Westview Lofts,4725 Enterprise Way,43.6614560,-116.6396773,Market/Affordable,Low-Rise,2020,,50,,,,13,,714,25,,945,12,,1198,,,
Park Place at Barber Station,3783 E Exacta Ln,43.5742784,-116.1446069,Market,Garden,2016,,162,162,,,,,,,,,,,,,,
Touchstone Place,1141-1187 E Fairview Ave,43.6181186,-116.3806282,Market,Garden,2015,6.2500,64,,,,,,,64,1487,1000,,,,,,
Adare,2419 W Fairview Ave,43.6201618,-116.2204865,Affordable,Mid-Rise,2020,3.7313,134,,,,72,1145,630,55,1374,833,7,1587,1183,,,
Fairview Crossing,8519 W Fairview Ave,43.6168680,-116.2878120,Market,Garden,2003,8.1967,244,,,,48,1240,800,84,1385,900,112,1814,1213,,,
Village East Apartments,12000 W Fairview Ave,43.6202818,-116.3322569,Market,Mid-Rise,2021,3.6765,272,,,,94,1539,694,122,1805,1094,56,2016,1250,,,
Riverscape Townhomes,4800 Field St,43.6429311,-116.2596825,Market,Low-Rise,2021,3.3333,30,,,,,,,30,1958,1261,,,,,,
Vineyard at Sycamore Place,817 Fillmore St,43.6619015,-116.6914037,Market/Affordable,Low-Rise,2018,3.3333,30,,,,15,795,692,15,880,930,,,,,,
Celebration Acres,10881 W Florence Dr,43.6164305,-116.3183847,Market/Affordable,Garden,2022,3.5714,28,,,,,,,28,,,,,,,,
Cedar Springs Apartments,16344 N Franklin Blvd,43.6096267,-116.5522715,Market,Garden,2022,1.6667,120,,,,60,1310,590,60,1490,807,,,,,,
Olympus at Ten Mile,1961 W Franklin Rd,43.6037761,-116.4180263,Market,Garden,2020,3.7736,106,,,,26,1200,490,62,1695,926,18,1898,1174,,,
The Arbour,5618 W Franklin Rd,43.6038203,-116.2513806,Affordable,Mid-Rise,2024,15.1786,112,,,,38,1206,668,37,1208,949,37,1673,1089,,,
