SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Ranch,"±2,806 Orchard Access Rd",Boise,ID,83716,35075000,,,Boise SE - 0300,,122229360,,78,,,Active,,,https://www.redfin.com/ID/Unknown/2-806-Orchard-Access-Rd-83716/home/198820428,IMLS,98966149,N,Y,43.3007352,-116.059173
MLS Listing,,Ranch,"Refer To ""exhibit A"", Kuna ID 83634 Refer To ""exhibit A""",Kuna,ID,83634,32000000,3,3.0,Kuna - 1100,2842,71405294,,31,11260,,Active,,,https://www.redfin.com/ID/Kuna/Refer-To-exhibit-A-Kuna-ID-83634-Refer-To-exhibit-A-Unknown/home/199677993,IMLS,98969866,N,Y,43.4918307,-116.4201223
MLS Listing,,Vacant Land,873 E Deer Flat Rd,Kuna,ID,83634,18150000,,,Kuna - 1100,,2728162,,1033,,,Active,,,https://www.redfin.com/ID/Kuna/873-E-Deer-Flat-Rd-83634/home/106726114,IMLS,98871922,N,Y,43.502595,-116.4030842
MLS Listing,,Multi-Family (5+ Unit),9848 W Sand Hill Dr,Nampa,ID,83687,16750000,,,Nampa NE (87) - 1250,59616,100623,2023,127,281,,Active,,,https://www.redfin.com/ID/Nampa/9848-W-Sand-Hill-Dr-83687/home/117021287,IMLS,98961304,N,Y,43.608328,-116.591303
MLS Listing,,Ranch,"Rose Lane, Nampa ID 83651 Rose Ln",Nampa,ID,83651,16000000,,,Nampa South (86) - 1260,,34902450,,190,,,Active,,,https://www.redfin.com/ID/Nampa/Rose-Lane-Nampa-ID-83651-Rose-LN-83651/home/196338989,IMLS,98954098,N,Y,43.5896264,-116.6132313
MLS Listing,,Vacant Land,9748 E Cherry Ln,Nampa,ID,83687,15000000,,,Nampa NE (87) - 1250,,1400061,,400,,,Active,,,https://www.redfin.com/ID/Nampa/9748-Cherry-Ln-83687/home/116906722,IMLS,98931116,N,Y,43.6198802,-116.5878383
MLS Listing,,Ranch,5400 N Bogus Basin Rd,Boise,ID,83702,10000000,,,Boise North - 0100,,13590720,,141,,,Active,,,https://www.redfin.com/ID/Boise/5400-N-Bogus-Basin-Rd-83702/home/179249881,IMLS,98959662,N,Y,43.6606209,-116.1886213
MLS Listing,,Single Family Residential,16300 S Curtis Rd,Kuna,ID,83634,9865000,6,4.0,Kuna - 1100,5126,1661814,2014,280,1925,,Active,,,https://www.redfin.com/ID/Kuna/16300-S-Curtis-Rd-83634/home/106729632,IMLS,98942625,N,Y,43.4541854,-116.2525397
MLS Listing,,Single Family Residential,5446 N Highway 16,Eagle,ID,83616-1448,9100000,5,4.5,Eagle - 0900,5615,1507176,2003,119,1621,,Active,,,https://www.redfin.com/ID/Eagle/5446-N-Highway-16-83616/home/106786665,IMLS,98962273,N,Y,43.741417,-116.460239
MLS Listing,,Vacant Land,0 Beacon Light Rd,Eagle,ID,83616,8141364,,,Eagle - 0900,,271378,,126,,,Active,,,https://www.redfin.com/ID/Eagle/0-E-Beacon-Light-Rd-83616/home/199414562,IMLS,98961402,N,Y,43.7207908,-116.3541174
MLS Listing,,Vacant Land,9742 Southside Blvd,Nampa,ID,83686-9999,7500000,,,Nampa South (86) - 1260,,3267000,,152,,,Active,,,https://www.redfin.com/ID/Nampa/9742-Southside-Blvd-83686/home/117042929,IMLS,98947739,N,Y,43.5136289,-116.5325526
MLS Listing,,Ranch,±520 Acres Orchard Access Rd,Boise,ID,83716,7020000,,,Boise South - 0500,,22651200,,233,,,Active,,,https://www.redfin.com/ID/Unknown/520-Acres-Orchard-Access-Rd-83716/home/195934722,IMLS,98948708,N,Y,43.3007352,-116.059173
MLS Listing,,Vacant Land,TBD Purple Sage Rd,Middleton,ID,83644-0000,6990000,,,Canyon County Other - 1290,,2418015,,282,,,Active,,,https://www.redfin.com/ID/Middleton/TBD-Purple-Sage-Rd-Unknown/home/145188731,IMLS,98942214,N,Y,43.7355207,-116.6057795
MLS Listing,,Multi-Family (5+ Unit),3126 E Victory Rd. - 24 Units,Nampa,ID,83687,6620000,,,Nampa NE (87) - 1250,22086,616809,2026,157,300,,Active,,,https://www.redfin.com/ID/Nampa/3126-E-Victory-Rd-83687/home/117521274,IMLS,98957874,N,Y,43.5777529,-116.5314237
MLS Listing,,Vacant Land,TBD N Can Ada Rd,Nampa,ID,83687,6403000,,,Nampa NE (87) - 1250,,638589,,702,,,Active,,,https://www.redfin.com/ID/Nampa/TBD-N-Can-Ada-Rd-83687/home/189733571,IMLS,98900374,N,Y,43.6543862,-116.5130376
MLS Listing,,Vacant Land,225 N Black Cat,Meridian,ID,83642,6000000,,,Meridian SW - 1010,,679536,,67,,,Active,,,https://www.redfin.com/ID/Meridian/225-N-Black-Cat-Rd-83642/home/109561164,IMLS,98967114,N,Y,43.6072765,-116.4586555
MLS Listing,,Vacant Land,7873 S Cole Rd,Boise,ID,83709,5750000,,,Boise South - 0500,,1008414,,231,,,Active,,,https://www.redfin.com/ID/Boise/7873-S-Cole-Rd-83709/home/106657636,IMLS,98949191,N,Y,43.5299889,-116.274275
MLS Listing,,Vacant Land,6305 N Blackcat,Meridian,ID,83646-5015,5299900,,,Meridian NW - 1030,,170319,,149,,,Active,,,https://www.redfin.com/ID/Meridian/6305-N-Black-Cat-Rd-83646/home/106737271,IMLS,98958819,N,Y,43.6622253,-116.4547062
MLS Listing,,Vacant Land,4114 & 4121 Laster Ln,Caldwell,ID,83605,5150000,,,Caldwell NW - 1275,,609840,,241,,,Active,,,https://www.redfin.com/ID/Caldwell/4114-Laster-Ln-83607/home/117522399,IMLS,98947741,N,Y,43.624698,-116.646526
MLS Listing,,Single Family Residential,5700 W Dry Creek Rd,Boise,ID,83714,5110000,3,1.5,Boise NW - 0800,1912,890366,1900,246,2673,,Active,,,https://www.redfin.com/ID/Boise/5700-W-Dry-Creek-Rd-83714/home/106671001,IMLS,98947251,N,Y,43.7281941,-116.2579685
MLS Listing,,Single Family Residential,146 W Skylark Dr,Boise,ID,83702,5100000,5,5.5,Ridge View,5491,17424,2023,268,929,,Active,,,https://www.redfin.com/ID/Boise/146-W-Skylark-Dr-83702/home/106668022,IMLS,98944049,N,Y,43.6280558,-116.1875814
MLS Listing,,Single Family Residential,1122 W Two Rivers Ln,Eagle,ID,83616,4850000,5,7.0,Two Rivers Eagle,6999,34368,2003,231,693,593,Active,,,https://www.redfin.com/ID/Eagle/1122-W-Two-Rivers-Ln-83616/home/106746355,IMLS,98948970,N,Y,43.6818544,-116.3675527
